type,review_score,total_reviews,review_bucket
Free,0.5576036866359447,434,200-1k
Free,0.7028985507246377,138,50-200
Free,0.9425947187141217,871,200-1k
Free,0.7518248175182481,137,50-200
Free,0.990448032749602,4397,1k-10k
Free,0.7265122265122265,1554,1k-10k
Free,0.7263681592039801,201,200-1k
Free,0.8181818181818182,132,50-200
Free,0.6750556792873051,4490,1k-10k
Free,0.6545454545454545,55,50-200
Free,0.7839388145315488,523,200-1k
Free,0.5714285714285714,896,200-1k
Free,0.4423076923076923,156,50-200
Free,0.7762096774193549,496,200-1k
Free,0.7017543859649122,114,50-200
Free,0.9636363636363636,55,50-200
Free,0.857981220657277,1704,1k-10k
Free,0.8571428571428571,266,200-1k
Free,0.7692307692307693,65,50-200
Free,0.5324947589098532,477,200-1k
Free,0.8899082568807339,109,50-200
Free,0.9434999209236122,25292,10k+
Free,0.7425742574257426,101,50-200
Free,0.765079365079365,315,200-1k
Free,0.9589905362776026,317,200-1k
Free,0.6123188405797102,276,200-1k
Free,0.559322033898305,59,50-200
Free,0.584070796460177,113,50-200
Free,0.9655172413793104,1624,1k-10k
Free,0.5564263322884012,1276,1k-10k
Free,0.4772727272727273,88,50-200
Free,0.7126436781609196,87,50-200
Free,0.60625,160,50-200
Free,0.8011928429423459,2012,1k-10k
Free,0.6838768115942029,2208,1k-10k
Free,0.8148148148148148,135,50-200
Free,0.8296339377715457,376548,10k+
Free,0.8735083532219571,419,200-1k
Free,0.6744186046511628,129,50-200
Free,0.9006928406466512,433,200-1k
Free,0.7793103448275862,145,50-200
Free,0.656934306569343,274,200-1k
Free,0.9768707482993197,2940,1k-10k
Free,0.8369565217391305,276,200-1k
Free,0.7538289129622712,2677,1k-10k
Free,0.9186046511627907,172,50-200
Free,0.896551724137931,58,50-200
Free,0.6568627450980392,102,50-200
Free,0.8197382982878719,15361,10k+
Free,0.9187768240343348,9320,1k-10k
Free,0.7666666666666667,120,50-200
Free,0.6982758620689655,232,200-1k
Free,0.6916666666666667,360,200-1k
Free,0.9193246987563631,15519,10k+
Free,0.8985507246376812,69,50-200
Free,0.5266925817946226,30870,10k+
Free,0.797583081570997,1655,1k-10k
